DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
23-Jul-2016,20,54,19,37,59,30,25,2,Merlin,"BLUE32904318;AQUA40739572,BLUE08978263,BLUE53748077,BLUE78239438,BLUE80478554,GREY21920588,GREY23535922,GREY91876212,JADE03111311,LIME31585276,LIME39747519,LIME59591220,LIME79271495,NAVY99036423,PINK10712291,PINK26143208,PLUM00849082,PLUM66766353,ROSE50986170,ROSE90687437",2148
20-Jul-2016,18,30,37,59,29,46,23,6,Merlin,"JADE05535870;AQUA17671487,AQUA71604176,AQUA92263549,BLUE52907748,GOLD50662584,GOLD65745739,GOLD76884348,GREY05395488,JADE32184427,NAVY15755077,PINK16642437,PINK63131510,PLUM85900618,PLUM94145513,ROSE66020653,ROSE76602202,RUBY47916784,RUBY54819925,TEAL79003232,TEAL92384624",2147
16-Jul-2016,32,50,36,14,17,10,41,1,Lancelot,"GREY77312584;AQUA08355441,AQUA14056393,AQUA40712328,AQUA57903749,AQUA66095160,BLUE08704496,BLUE48025873,BLUE58694201,GOLD62255303,GREY07582751,JADE88536660,LIME75756871,NAVY48188319,NAVY84133570,PINK07894059,PINK45219022,ROSE04773446,RUBY41153114,RUBY51327225,RUBY64035445",2146
13-Jul-2016,22,30,58,34,1,57,51,3,Merlin,"BLUE35816147;AQUA67206334,AQUA79687689,BLUE25686744,GOLD06862178,GOLD68513801,GOLD73498442,GOLD88274337,GREY46521969,JADE70607071,LIME19917417,LIME28535009,NAVY75178910,NAVY81078686,PINK14195528,PLUM18029724,PLUM54306654,ROSE35889372,ROSE46318323,TEAL17292016,TEAL66049297",2145
09-Jul-2016,1,29,3,42,36,22,12,7,Merlin,"LIME56681742;AQUA11345587,AQUA78016911,BLUE07339394,GOLD67464498,GREY93217853,GREY97093469,JADE47705561,LIME06660365,LIME32828286,NAVY45619231,PINK44592046,PLUM70864718,ROSE11022648,ROSE14978101,ROSE85259576,RUBY07301625,RUBY63252123,RUBY67324985,TEAL40332418,TEAL73189246",2144
06-Jul-2016,38,20,3,39,1,24,4,6,Lancelot,"AQUA89288463;AQUA69588283,GOLD21900448,GREY03116993,GREY73611916,JADE17886754,JADE76920627,LIME14326774,LIME20327484,NAVY03300611,NAVY32142210,NAVY65439481,PINK39760183,PINK54791969,PLUM00041415,PLUM01292202,PLUM16778935,ROSE21202003,ROSE44550079,RUBY07446983,RUBY58372414",2143
02-Jul-2016,24,43,16,19,9,3,13,5,Merlin,"PLUM04947662;AQUA36613105,AQUA78491897,AQUA84303434,AQUA85126783,GOLD41198547,GOLD51988519,GREY51712186,GREY62837991,GREY89920840,JADE50771646,JADE79964467,NAVY15302575,NAVY33487729,NAVY99577240,PINK52593675,PINK87365716,PLUM48638625,PLUM82727629,ROSE13871549,ROSE92951725",2142
29-Jun-2016,46,56,21,19,10,45,2,8,Lancelot,"AQUA94167254;BLUE03133556,GOLD58283486,GOLD71010241,GREY34361802,GREY55154469,GREY62415817,GREY97409188,JADE15053611,LIME10694156,LIME33712070,LIME63121980,LIME63637784,LIME65154432,NAVY22505044,NAVY32356412,PLUM07065702,PLUM80415465,ROSE38187755,ROSE75213493,TEAL89323044",2141
25-Jun-2016,13,56,22,14,18,24,16,5,Lancelot,"RUBY65522907;BLUE10181816,GOLD49576824,GREY71542395,JADE13621238,JADE51594982,JADE83729674,LIME03651029,PINK16489277,PINK49570928,PLUM36996753,PLUM37150424,PLUM38451079,PLUM93484608,ROSE05390538,ROSE19501291,ROSE42816310,RUBY69928841,RUBY72132636,RUBY77834760,TEAL58822919",2140
22-Jun-2016,39,36,25,57,11,40,37,6,Lancelot,"BLUE16301173;AQUA31423790,AQUA61761027,BLUE48884657,GOLD66128693,GREY09842285,GREY67833695,JADE02657208,JADE16592981,JADE92528449,LIME98545448,NAVY51922368,NAVY80451594,PLUM37880728,PLUM41000325,PLUM75063491,ROSE86886509,RUBY27667058,RUBY32970137,TEAL17727284,TEAL70793209",2139
18-Jun-2016,17,26,10,35,38,31,47,7,Merlin,"AQUA00896920;AQUA02648327,AQUA88591485,BLUE03700894,GOLD39226636,JADE24683197,JADE93685825,LIME15496531,LIME70501943,NAVY43515947,NAVY74226657,PINK07974086,PINK15553387,PINK38601413,PINK42737703,PINK59836257,PINK98089282,PLUM13780626,ROSE13752098,RUBY01853248,TEAL48778675",2138
15-Jun-2016,19,38,20,2,14,29,27,5,Lancelot,"TEAL69099157;AQUA16660500,AQUA31536366,AQUA33589119,AQUA56836109,AQUA63106359,BLUE44809901,BLUE49024972,BLUE89631557,JADE92205601,JADE97026310,LIME61664570,LIME73711051,LIME76159188,NAVY27473744,PLUM06223348,PLUM85723223,ROSE03728181,ROSE86062846,TEAL25567136,TEAL86019961",2137
11-Jun-2016,4,55,30,38,17,47,3,7,Merlin,"PLUM74312828;AQUA32528400,BLUE18923380,BLUE19844454,BLUE43043640,BLUE81430693,GOLD64773511,GOLD69530245,GOLD93207607,GREY44909755,GREY83542932,JADE30206918,JADE91185216,LIME14187130,LIME57302683,NAVY29480104,NAVY42706754,PINK04935061,PINK40382983,PLUM54528493,RUBY22735627",2136
08-Jun-2016,49,28,58,33,43,55,21,8,Lancelot,"GOLD82097080;AQUA48430842,AQUA90792767,BLUE05394876,BLUE29128472,GOLD12998901,GREY61381546,GREY63549192,GREY90343786,JADE75700279,JADE81242256,LIME15373686,LIME26001437,LIME34038540,LIME77861511,NAVY74195477,PINK71339261,PINK84894026,ROSE20572615,RUBY08696567,TEAL78827376",2135
04-Jun-2016,7,58,55,34,32,48,30,8,Guinevere,"BLUE72864307;BLUE61007274,GOLD31923581,GOLD65786265,GREY01839737,GREY33887332,GREY51498004,JADE04781828,JADE27349803,JADE95517398,LIME21253503,LIME35446178,LIME64841887,ROSE03063571,ROSE71402221,ROSE97879909,RUBY13305417,RUBY34234522,RUBY52293086,TEAL00473340,TEAL65273118",2134
